,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
146,Banda Aceh,ID,2020-03-15 23:46:34,5.56,95.32,37,87,74.48,4.52
147,Luanda,AO,2020-03-15 23:46:38,-8.84,13.23,20,83,80.6,8.05
148,Sturgis,US,2020-03-15 23:46:40,41.8,-85.42,1,39,44.6,3.36
149,Olafsvik,IS,2020-03-15 23:46:43,64.89,-23.71,100,78,31.71,22.41
150,Poconé,BR,2020-03-15 23:46:45,-16.26,-56.62,48,78,78.93,3.22
151,Iskateley,RU,2020-03-15 23:46:47,67.68,53.15,100,90,18.27,23.33
152,Esperance,AU,2020-03-15 23:46:51,-33.87,121.9,40,93,66.2,6.93
153,La Primavera,CO,2020-03-15 23:46:53,5.49,-70.41,100,40,88.59,4.09
154,Norman Wells,CA,2020-03-15 23:44:34,65.28,-126.83,20,78,15.8,21.92
155,Saskylakh,RU,2020-03-15 23:46:58,71.92,114.08,100,96,-8.37,20.74
156,Santa Isabel Rio Negro,BR,2020-03-15 23:47:00,-0.41,-65.02,100,95,76.8,2.68
157,Yulara,AU,2020-03-15 23:47:02,-25.24,130.99,0,13,77.0,11.41
158,Yumen,CN,2020-03-15 23:47:04,40.28,97.2,55,40,27.72,0.31
159,Launceston,AU,2020-03-15 23:45:00,-41.45,147.17,89,67,64.0,4.7
160,Nemuro,JP,2020-03-15 23:47:11,43.32,145.57,75,63,28.4,3.36
161,Vanimo,PG,2020-03-15 23:47:13,-2.67,141.3,100,83,77.85,8.3
162,Salalah,OM,2020-03-15 23:46:06,17.02,54.09,40,65,77.0,8.05
163,Porto-Novo,BJ,2020-03-15 23:47:18,6.5,2.6,40,83,84.2,13.87
164,Ambon City,ID,2020-03-15 23:47:20,-3.7,128.18,20,74,84.2,3.36
165,Mildura,AU,2020-03-15 23:47:22,-34.2,142.15,0,48,73.0,10.29
166,Poya,NC,2020-03-15 23:47:24,-21.35,165.15,80,77,80.42,11.86
167,Mount Gambier,AU,2020-03-15 23:47:27,-37.83,140.77,0,76,57.2,11.41
168,Thompson,CA,2020-03-15 23:42:49,55.74,-97.86,90,57,19.4,13.87
169,Srandakan,ID,2020-03-15 23:47:31,-7.94,110.25,90,83,78.51,2.82
170,Lexington,US,2020-03-15 23:45:05,37.99,-84.48,90,82,42.8,9.17
171,Zhezkazgan,KZ,2020-03-15 23:47:35,47.8,67.71,100,79,39.0,3.04
172,Mehamn,NO,2020-03-15 23:47:37,71.04,27.85,20,67,19.4,11.41
173,Oktyabr'skiy,RU,2020-03-15 23:47:39,54.48,53.47,100,97,31.19,9.22
174,Iskitim,RU,2020-03-15 23:47:41,54.64,83.3,100,69,39.2,15.66
175,Avera,US,2020-03-15 23:47:46,33.19,-82.53,75,72,68.0,4.7
176,Fairbanks,US,2020-03-15 23:47:48,64.84,-147.72,90,80,35.01,2.75
177,‘Āhuimanu,US,2020-03-15 23:44:56,21.44,-157.84,90,78,78.8,8.05
178,Asheboro,US,2020-03-15 23:47:52,35.71,-79.81,90,62,55.4,8.05
